Name,City,IATA Code,Destination Count,Latitude,Longitude
Sochi International Airport,Sochi,AER,26,43.449902,39.9566
Astrakhan Airport,Astrakhan,ASF,8,46.2832984924,48.0063018799
Chelyabinsk Balandino Airport,Chelyabinsk,CEK,20,55.305801,61.5033
Domodedovo International Airport,Moscow,DME,324,55.40879821777344,37.90629959106445
Belgorod International Airport,Belgorod,EGO,11,50.643798828125,36.5900993347168
Heydar Aliyev International Airport,Baku,GYD,64,40.46749877929688,50.04669952392578
Khrabrovo Airport,Kaliningrad,KGD,15,54.88999938964844,20.592599868774414
Kazan International Airport,Kazan,KZN,28,55.606201171875,49.278701782227
Pulkovo Airport,St. Petersburg,LED,184,59.80030059814453,30.26250076293945
Mineralnyye Vody Airport,Mineralnye Vody,MRV,22,44.22510147094727,43.08190155029297
Begishevo Airport,Nizhnekamsk,NBC,7,55.56470108032226,52.09249877929688
Nizhnevartovsk Airport,Nizhnevartovsk,NJC,14,60.94929885864258,76.48359680175781
Novy Urengoy Airport,Novy Urengoy,NUX,16,66.06939697265625,76.52030181884766
Tolmachevo Airport,Novosibirsk,OVB,87,55.012599945068,82.650703430176
Koltsovo Airport,Yekaterinburg,SVX,98,56.743099212646,60.802700042725
Taganrog Yuzhny Airport,Taganrog,TGK,1,47.1983333,38.849166700000005
Bugulma Airport,Bugulma,UUA,4,54.63999938964844,52.80170059204102
Bratsk Airport,Bratsk,BTK,4,56.37060165405274,101.697998046875
Chita-Kadala Airport,Chita,HTA,11,52.026299,113.306
Irkutsk Airport,Irkutsk,IKT,41,52.268001556396,104.38899993896
Kirensk Airport,Kirensk,KCK,1,57.773,108.064
Mirny Airport,Mirnyj,MJZ,9,62.53469848632813,114.03900146484376
Bodaybo Airport,Bodaibo,ODO,2,57.8661003113,114.24299621600001
Ust-Kut Airport,Ust-Kut,UKX,2,56.8567008972168,105.7300033569336
Lensk Airport,Lensk,ULK,6,60.7206001282,114.82599639899999
Yakutsk Airport,Yakutsk,YKS,38,62.093299865722656,129.77099609375
Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,AYP,2,-13.154800415039062,-74.20439910888672
Alejandro Velasco Astete International Airport,Cuzco,CUZ,11,-13.535699844400003,-71.9387969971
Alferez Fap David Figueroa Fernandini Airport,Huánuco,HUU,2,-9.878809928894043,-76.20480346679688
Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,IQT,7,-3.7847399711608887,-73.30879974365234
Jorge Chávez International Airport,Lima,LIM,115,-12.0219,-77.114305
Cap FAP David Abenzur Rengifo International Airport,Pucallpa,PCL,6,-8.37794017791748,-74.57430267333984
Padre Aldamiz International Airport,Puerto Maldonado,PEM,3,-12.613599777200001,-69.2285995483
Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,TPP,6,-6.508739948272705,-76.37319946289062
Port Bouet Airport,Abidjan,ABJ,50,5.261390209197998,-3.9262900352478023
Kotoka International Airport,Accra,ACC,54,5.605189800262451,-0.16678600013256073
Modibo Keita International Airport,Bamako,BKO,28,12.5335,-7.94994
Bobo Dioulasso Airport,Bobo-dioulasso,BOY,2,11.160099983215332,-4.33096981048584
Cadjehoun Airport,Cotonou,COO,41,6.357230186462402,2.384350061416626
Léopold Sédar Senghor International Airport,Dakar,DKR,67,14.739700317382812,-17.49020004272461
Lomé-Tokoin Airport,Lome,LFW,20,6.165609836578369,1.2545100450515747
Diori Hamani International Airport,Niamey,NIM,17,13.4815,2.18361
Ouagadougou Airport,Ouagadougou,OUA,33,12.3532,-1.51242
El Dorado International Airport,Bogota,BOG,152,4.70159,-74.1469
Alfonso Bonilla Aragon International Airport,Cali,CLO,30,3.54322,-76.3816
José Joaquín de Olmedo International Airport,Guayaquil,GYE,35,-2.15741991997,-79.88359832760001
Francisco De Orellana Airport,Coca,OCC,3,-0.4628860056400299,-76.98680114746094
San Cristóbal Airport,San Cristóbal,SCY,4,-0.910206,-89.617401
Mariscal Sucre International Airport,Quito,UIO,39,-0.129166666667,-78.3575
Brindisi – Salento Airport,Brindisi,BDS,22,40.6576,17.947001
Bordeaux-Mérignac Airport,Bordeaux,BOD,67,44.8283004761,-0.7155560255050001
Bristol Airport,Bristol,BRS,100,51.382702,-2.71909
Geneva Cointrin International Airport,Geneva,GVA,166,46.23809814453125,6.108950138092041
Larnaca International Airport,Larnaca,LCA,93,34.875099182128906,33.62490081787109
Gran Canaria Airport,Gran Canaria,LPA,154,27.931900024414066,-15.38659954071045
Marsa Alam International Airport,Marsa Alam,RMF,6,25.557100295999998,34.5836982727
Tenerife South Airport,Tenerife,TFS,159,28.044500351,-16.5725002289
Zürich Airport,Zurich,ZRH,247,47.464698999999996,8.54917
Arvidsjaur Airport,Arvidsjaur,AJR,2,65.59030151367189,19.28190040588379
Stockholm-Arlanda Airport,Stockholm,ARN,219,59.651901245116996,17.918600082397
Gällivare Airport,Gallivare,GEV,6,67.13240051269531,20.814599990844727
Halmstad Airport,Halmstad,HAD,6,56.69110107421875,12.820199966430664
Hemavan Airport,Hemavan,HMV,2,65.80609893798828,15.082799911499025
Jönköping Airport,Joenkoeping,JKG,2,57.75759887695313,14.068699836730955
Kokkola-Pietarsaari Airport,Kruunupyy,KOK,3,63.721199035645,23.143100738525
Kramfors Sollefteå Airport,Kramfors,KRF,4,63.04859924316406,17.76889991760254
Karlstad Airport,Karlstad,KSD,2,59.444698333699996,13.337400436400001
Lycksele Airport,Lycksele,LYC,4,64.54830169677734,18.71619987487793
Mariehamn Airport,Mariehamn,MHQ,4,60.122200012207,19.898199081421
Örnsköldsvik Airport,Ornskoldsvik,OER,1,63.40829849243164,18.989999771118164
Oslo Lufthavn,Oslo,OSL,180,60.121,11.0502
Pori Airport,Pori,POR,3,61.461700439453004,21.799999237061
Turku Airport,Turku,TKU,8,60.514099121094,22.262800216675
"Sandefjord Airport, Torp",Sandefjord,TRF,37,59.1866989136,10.258600235
Visby Airport,Visby,VBY,8,57.662799835205,18.346200942993
Vilhelmina Airport,Vilhelmina,VHM,4,64.5791015625,16.833599090576172
Växjö Kronoberg Airport,Vaxjo,VXO,7,56.929100036621094,14.727999687194824
Kodiak Airport,Kodiak,ADQ,11,57.75,-152.4940033
Larsen Bay Airport,Larsen Bay,KLN,1,57.535099029499996,-153.977996826
Basco Airport,Basco,BSO,2,20.4513,121.980003
Bancasi Airport,Butuan,BXU,4,8.9515,125.4788
Awang Airport,Cotabato,CBO,3,7.165239810943604,124.20999908447266
Laguindingan Airport,Cagayan de Oro City,CGY,7,8.612203,124.456496
Catarman National Airport,Catarman,CRM,2,12.502400398254395,124.63600158691406
Sibulan Airport,Dumaguete,DGT,4,9.3337097168,123.30000305200001
Al Maktoum International Airport,Dubai,DWC,48,24.896356,55.161389
General Santos International Airport,Romblon,GES,5,6.058000087740001,125.096000671
Kalibo International Airport,Kalibo,KLO,18,11.679400444,122.375999451
Legazpi City International Airport,Legazpi,LGP,4,13.1575,123.735
Ninoy Aquino International Airport,Manila,MNL,193,14.5086,121.019997
Godofredo P. Ramos Airport,Caticlan,MPH,4,11.9245,121.954002
Labo Airport,Ozamis,OZC,4,8.178509712219237,123.84200286865234
Puerto Princesa Airport,Puerto Princesa,PPS,9,9.742119789123537,118.75900268554688
Roxas Airport,Roxas City,RXS,3,11.597700119018555,122.7519989013672
Surigao Airport,Sangley Point,SUG,3,9.755838325629998,125.480947495
Tuguegarao Airport,Tuguegarao,TUG,3,17.6433676823,121.73315048200001
Zamboanga International Airport,Zamboanga,ZAM,6,6.922420024871826,122.05999755859376
Araguaína Airport,Araguaina,AUX,4,-7.227869999999999,-48.240501
Barreiras Airport,Barreiras,BRA,6,-12.078900337219238,-45.00899887084961
Presidente Juscelino Kubistschek International Airport,Brasilia,BSB,98,-15.86916732788086,-47.92083358764648
Cascavel Airport,Cascavel,CAC,3,-25.0002994537,-53.5008010864
Marechal Rondon Airport,Cuiaba,CGB,33,-15.6528997421,-56.1166992188
Campo Grande Airport,Campo Grande,CGR,17,-20.468700408900002,-54.6725006104
Dourados Airport,Dourados,DOU,3,-22.2019,-54.926601
Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,GIG,98,-22.809999465900002,-43.2505569458
Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,GRU,193,-23.435556411743164,-46.47305679321289
Santa Genoveva Airport,Goiania,GYN,21,-16.631999969482422,-49.22069931030274
Presidente João Batista Figueiredo Airport,Sinop,OPS,3,-11.885000228881836,-55.58610916137695
